term,coef,exp_coef
period_bin_13-24,0.6816725967711276,1.9771819963323822
period_bin_25-60,-0.10320124164118759,0.9019454462348466
period_bin_4-6,1.2482733968494844,3.484321719954788
period_bin_60+,0.17418347913246324,1.190273936215755
period_bin_7-12,1.0781041182982536,2.9391020757744495
sex_Male,-0.046420674751646886,0.9546402846441824
smoking_status_clean_Ex-Smoker,-0.3589662436015208,0.6983979263523667
smoking_status_clean_Non-Smoker,-0.5054362480463978,0.6032423547177049
smoking_status_clean_Unknown,-0.5304174226274571,0.588359323917994
primary_site_group_Nasopharynx,-0.024195713020111424,0.9760946566295632
primary_site_group_Oropharynx,0.2296075723866629,1.2581061974306027
primary_site_group_Other_HNC,0.005611261881925535,1.0056270344995084
subsite_clean_Glottis,-0.08020685250915927,0.922925417201911
subsite_clean_Lat Wall,-0.019406272053549212,0.9807808174526945
subsite_clean_Post Wall,0.15076867224230384,1.1627276557877464
subsite_clean_Soft Palate,-0.42559136459029445,0.6533832831217816
subsite_clean_Subglottis,0.43315560045115736,1.5421161560027388
subsite_clean_Supraglottis,0.09612614278311067,1.1008979255638538
subsite_clean_Tonsil,-0.22278866503723846,0.8002839594052449
subsite_clean_Tonsil Pillar,-0.3503152461140935,0.7044659745490932
subsite_clean_Tonsillar Fossa,-0.5542338685931838,0.5745122445065158
subsite_clean_Trans- Glottis,-0.6713847957288175,0.5110004563485571
subsite_clean_Uvula,-0.5503317971452901,0.5767584118349282
subsite_clean_Vallecula,0.10675750994364802,1.1126644117076576
subsite_clean_nan,-0.018584451138188778,0.9815871749372007
stage_I,-0.6407987226278347,0.526871431802875
stage_II,-0.4207947806406809,0.6565248191881211
stage_III,0.0018751398443513625,1.0018768990184632
stage_IV,0.3499159091494244,1.4189482230132369
stage_IVA,0.3812092243926669,1.4640538891533859
stage_IVB,1.0353372292602747,2.8160557319074644
stage_IVC,-0.10915775913840534,0.8965889612384913
stage_Other,1.3417333050690312,3.8256688130139764
stage_X,-0.288960435670359,0.7490418401547048
stage_nan,0.6698971878596618,1.954036411642395
hpv_clean_HPV_Positive,-1.0519867517627068,0.3492431998482167
hpv_clean_HPV_Unknown,-0.3704680509274483,0.6904111074416385
hpv_clean_nan,-0.24089435614188226,0.7859246501150229
age,0.27358159252602077,1.3146646216434428
ecog_ps,0.19828114380061396,1.2193051457208754
smoking_py_clean,0.006805910209877912,1.0068291230483877
time_since_rt_days,0.14188236996915254,1.1524410788839712
treatment,-0.8351160470178379,0.433824134514666
treat_x_period_bin_13-24,0.17796221431025283,1.1947801747888607
treat_x_period_bin_25-60,0.2526890776141334,1.287482907338624
treat_x_period_bin_4-6,-0.059225814473897236,0.9424939163575091
treat_x_period_bin_60+,-0.14329923884949836,0.8664947412075092
treat_x_period_bin_7-12,0.5657294468603101,1.7607316745913186
