n_estimators,min_samples_leaf,max_depth,policy_gain,cate_var,r_score
1000,5,,5.638192903091111,118.20022937356771,1730.0418606614599
1000,5,10.0,5.518499081623545,112.00105714749843,1728.3264521241224
500,5,,5.476546551372337,117.10944869014956,1731.1850133546031
500,5,10.0,5.338431902680003,110.42010585009508,1729.0787778139443
1000,10,,4.458000597825149,64.04538801301427,1726.6659305226913
1000,10,10.0,4.440390588880873,63.194431001082954,1726.4348914710679
500,10,,4.210574345765043,61.67202231997278,1726.1082121247107
500,10,10.0,4.1902860413977665,60.682463407868156,1725.775415511762
1000,20,,3.623070843989882,37.18072600558302,1724.1139126990122
1000,20,10.0,3.6227918131875954,37.178439642666724,1724.119717893005
500,20,,3.3961721340863686,36.240595789818386,1723.4130641727277
500,20,10.0,3.395376704515087,36.23819325260161,1723.4150160471377
